case,event,date,numeric
1710r,register application,2016-09-05 10:50:01,4410
1710r,check credit,2016-09-05 13:50:01,4410
1710r,calculate capacity,2016-09-05 12:50:01,23410
1710r,check system,2016-09-05 18:50:01,5410
1710r,accept,2016-09-05 18:50:01,43410
1710r,send decision e-mail,2016-09-05 18:50:01,6410
1711r,register application,2016-09-05 10:50:01,4410
1711r,check credit,2016-09-05 13:50:01,4410
1711r,calculate capacity,2016-09-05 12:50:01,23410
1711r,check system,2016-09-05 18:50:01,5410
1711r,accept,2016-09-05 18:50:01,43410
1711r,send decision e-mail,2016-09-05 18:50:01,6410
1712r,register application,2016-09-05 10:50:01,4410
1712r,check credit,2016-09-05 13:50:01,4410
1712r,calculate capacity,2016-09-05 12:50:01,23410
1712r,check system,2016-09-05 18:50:01,5410
1712r,accept,2016-09-05 18:50:01,43410
1712r,send decision e-mail,2016-09-05 18:50:01,6410
1713r,register application,2016-09-05 10:50:01,4410
1713r,check credit,2016-09-05 13:50:01,4410
1713r,calculate capacity,2016-09-05 12:50:01,23410
1713r,check system,2016-09-05 18:50:01,5410
1713r,accept,2016-09-05 18:50:01,43410
1713r,send decision e-mail,2016-09-05 18:50:01,6410
1714r,register application,2016-09-05 10:50:01,4410
1714r,check credit,2016-09-05 13:50:01,4410
1714r,calculate capacity,2016-09-05 12:50:01,23410
1714r,check system,2016-09-05 18:50:01,5410
1714r,accept,2016-09-05 18:50:01,43410
1714r,send decision e-mail,2016-09-05 18:50:01,6410
1715r,register application,2016-09-05 10:50:01,4410
1715r,check credit,2016-09-05 13:50:01,4410
1715r,calculate capacity,2016-09-05 12:50:01,23410
1715r,check system,2016-09-05 18:47:01,5730
1715r,accept,2016-09-05 18:47:01,43730
1715r,send decision e-mail,2016-09-05 18:47:01,6730
1716r,register application,2016-09-06 10:47:01,4730
1716r,check credit,2016-09-06 13:47:01,4730
1716r,calculate capacity,2016-09-06 12:47:01,23730
1716r,check system,2016-09-06 18:47:01,5730
1716r,accept,2016-09-06 18:47:01,43730
1716r,send decision e-mail,2016-09-06 18:47:01,6730
1717r,register application,2016-09-06 10:47:01,4730
1717r,check credit,2016-09-06 13:47:01,4730
1717r,calculate capacity,2016-09-06 12:47:01,23730
1717r,check system,2016-09-06 18:47:01,5730
1717r,accept,2016-09-06 18:47:01,43730
1717r,send decision e-mail,2016-09-06 18:47:01,6730
1718r,register application,2016-09-06 10:47:01,4730
1718r,check credit,2016-09-06 13:47:01,4730
1718r,calculate capacity,2016-09-06 12:47:01,23730
1718r,check system,2016-09-06 18:47:01,5730
1718r,accept,2016-09-06 18:47:01,43730
1718r,send decision e-mail,2016-09-06 18:47:01,6730
1719r,register application,2016-09-06 10:47:01,4730
1719r,check credit,2016-09-06 13:47:01,4730
1719r,calculate capacity,2016-09-06 12:47:01,23730
1719r,check system,2016-09-06 18:47:01,5730
1719r,accept,2016-09-06 18:47:01,43730
1719r,send decision e-mail,2016-09-06 18:47:01,6730
1720r,register application,2016-09-06 10:47:01,4730
1720r,check credit,2016-09-06 13:47:01,4730
1720r,calculate capacity,2016-09-06 12:47:01,23730
1720r,check system,2016-09-06 18:47:01,5730
1720r,accept,2016-09-06 18:47:01,43730
1720r,send decision e-mail,2016-09-06 18:47:01,6730
1721r,register application,2016-09-06 10:47:01,4730
1721r,check credit,2016-09-06 13:47:01,4730
1721r,calculate capacity,2016-09-06 12:47:01,23730
1721r,check system,2016-09-06 18:47:01,5730
1721r,accept,2016-09-06 18:47:01,43730
1721r,send decision e-mail,2016-09-06 18:47:01,6730
1722r,register application,2016-09-06 10:47:01,4730
1722r,check credit,2016-09-06 13:47:01,4730
1722r,calculate capacity,2016-09-06 12:47:01,23730
1722r,check system,2016-09-06 18:47:01,5730
1722r,accept,2016-09-06 18:47:01,43730
1722r,send decision e-mail,2016-09-06 18:47:01,6730
1723r,register application,2016-09-07 10:47:01,4730
1723r,check credit,2016-09-07 13:47:01,4730
1723r,calculate capacity,2016-09-07 12:47:01,23730
1723r,check system,2016-09-07 18:47:01,5730
1723r,accept,2016-09-07 18:47:01,43730
1723r,send decision e-mail,2016-09-07 18:47:01,6730
1724r,register application,2016-09-07 10:47:01,4730
1724r,check credit,2016-09-07 13:13:01,3393
1724r,calculate capacity,2016-09-07 12:13:01,22393
1724r,check system,2016-09-07 18:13:01,4393
1724r,accept,2016-09-07 18:13:01,42393
1724r,send decision e-mail,2016-09-07 18:13:01,5393
1725r,register application,2016-09-07 10:13:01,3393
1725r,check credit,2016-09-07 13:13:01,3393
1725r,calculate capacity,2016-09-07 12:13:01,22393
1725r,check system,2016-09-07 18:13:01,4393
1725r,accept,2016-09-07 18:13:01,42393
1725r,send decision e-mail,2016-09-07 18:13:01,5393
1726r,register application,2016-09-07 10:13:01,3393
1726r,check credit,2016-09-07 13:13:01,3393
1726r,calculate capacity,2016-09-07 12:13:01,22393
1726r,check system,2016-09-07 18:13:01,4393
1726r,accept,2016-09-07 18:13:01,42393
1726r,send decision e-mail,2016-09-07 18:13:01,5393
1727r,register application,2016-09-07 10:13:01,3393
1727r,check credit,2016-09-07 13:13:01,3393
1727r,calculate capacity,2016-09-07 12:13:01,22393
1727r,check system,2016-09-07 18:13:01,4393
1727r,accept,2016-09-07 18:13:01,42393
1727r,send decision e-mail,2016-09-07 18:13:01,5393
1728r,register application,2016-09-07 10:13:01,3393
1728r,check credit,2016-09-07 13:13:01,3393
1728r,calculate capacity,2016-09-07 12:13:01,22393
1728r,check system,2016-09-07 18:13:01,4393
1728r,accept,2016-09-07 18:13:01,42393
1728r,send decision e-mail,2016-09-07 18:13:01,5393
1729r,register application,2016-09-07 10:13:01,3393
1729r,check credit,2016-09-07 13:13:01,3393
1729r,calculate capacity,2016-09-07 12:13:01,22393
1729r,check system,2016-09-07 18:13:01,4393
1729r,accept,2016-09-07 18:13:01,42393
1729r,send decision e-mail,2016-09-07 18:13:01,5393
1730r,register application,2016-09-08 10:13:01,3393
1730r,check credit,2016-09-08 13:13:01,3393
1730r,calculate capacity,2016-09-08 12:13:01,22393
1730r,check system,2016-09-08 18:13:01,4393
1730r,accept,2016-09-08 18:13:01,42393
1730r,send decision e-mail,2016-09-08 18:13:01,5393
1731r,register application,2016-09-08 10:13:01,3393
1731r,check credit,2016-09-08 13:13:01,3393
1731r,calculate capacity,2016-09-08 12:13:01,22393
1731r,check system,2016-09-08 18:13:01,4393
1731r,accept,2016-09-08 18:13:01,42393
1731r,send decision e-mail,2016-09-08 18:13:01,5393
1732r,register application,2016-09-08 10:13:01,3393
1732r,check credit,2016-09-08 13:13:01,3393
1732r,calculate capacity,2016-09-08 12:13:01,22393
1732r,check system,2016-09-08 18:13:01,4393
1732r,accept,2016-09-08 18:13:01,42393
1732r,send decision e-mail,2016-09-08 18:13:01,5393
1733r,register application,2016-09-08 10:13:01,3393
1733r,check credit,2016-09-08 13:13:01,3393
1733r,calculate capacity,2016-09-08 12:13:01,22393
1733r,check system,2016-09-08 18:40:01,2646
1733r,accept,2016-09-08 18:40:01,40646
1733r,send decision e-mail,2016-09-08 18:40:01,3646
1734r,register application,2016-09-08 10:40:01,1646
1734r,check credit,2016-09-08 13:40:01,1646
1734r,calculate capacity,2016-09-08 12:40:01,20646
1734r,check system,2016-09-08 18:40:01,2646
1734r,accept,2016-09-08 18:40:01,40646
1734r,send decision e-mail,2016-09-08 18:40:01,3646
1735r,register application,2016-09-08 10:40:01,1646
1735r,check credit,2016-09-08 13:40:01,1646
1735r,calculate capacity,2016-09-08 12:40:01,20646
1735r,check system,2016-09-08 18:40:01,2646
1735r,accept,2016-09-08 18:40:01,40646
1735r,send decision e-mail,2016-09-08 18:40:01,3646
1736r,register application,2016-09-08 10:40:01,1646
1736r,check credit,2016-09-08 13:40:01,1646
1736r,calculate capacity,2016-09-08 12:40:01,20646
1736r,check system,2016-09-08 18:40:01,2646
1736r,accept,2016-09-08 18:40:01,40646
1736r,send decision e-mail,2016-09-08 18:40:01,3646
1737r,register application,2016-09-09 10:40:01,1646
1737r,check credit,2016-09-09 13:40:01,1646
1737r,calculate capacity,2016-09-09 12:40:01,20646
1737r,check system,2016-09-09 18:40:01,2646
1737r,accept,2016-09-09 18:40:01,40646
1737r,send decision e-mail,2016-09-09 18:40:01,3646
1738r,register application,2016-09-09 10:40:01,1646
1738r,check credit,2016-09-09 13:40:01,1646
1738r,calculate capacity,2016-09-09 12:40:01,20646
1738r,check system,2016-09-09 18:40:01,2646
1738r,accept,2016-09-09 18:40:01,40646
1738r,send decision e-mail,2016-09-09 18:40:01,3646
1739r,register application,2016-09-09 10:40:01,1646
1739r,check credit,2016-09-09 13:40:01,1646
1739r,calculate capacity,2016-09-09 12:40:01,20646
1739r,check system,2016-09-09 18:40:01,2646
1739r,accept,2016-09-09 18:40:01,40646
1739r,send decision e-mail,2016-09-09 18:40:01,3646
1740r,register application,2016-09-09 10:40:01,1646
1740r,check credit,2016-09-09 13:40:01,1646
1740r,calculate capacity,2016-09-09 12:40:01,20646
1740r,check system,2016-09-09 18:40:01,2646
1740r,accept,2016-09-09 18:40:01,40646
1740r,send decision e-mail,2016-09-09 18:40:01,3646
1741r,register application,2016-09-09 10:40:01,1646
1741r,check credit,2016-09-09 13:40:01,1646
1741r,calculate capacity,2016-09-09 12:40:01,20646
1741r,check system,2016-09-09 18:40:01,2646
1741r,accept,2016-09-09 18:40:01,40646
1741r,send decision e-mail,2016-09-09 18:40:01,3646
1742r,register application,2016-09-09 10:40:01,1646
1742r,check credit,2016-09-09 13:40:01,1646
1742r,calculate capacity,2016-09-09 12:40:01,20646
1742r,check system,2016-09-09 18:45:01,5183
1742r,accept,2016-09-09 18:45:01,43183
1742r,send decision e-mail,2016-09-09 18:45:01,6183
1743r,register application,2016-09-09 10:45:01,4183
1743r,check credit,2016-09-09 13:45:01,4183
1743r,calculate capacity,2016-09-09 12:45:01,23183
1743r,check system,2016-09-09 18:45:01,5183
1743r,accept,2016-09-09 18:45:01,43183
1743r,send decision e-mail,2016-09-09 18:45:01,6183
1744r,register application,2016-09-10 10:45:01,4183
1744r,check credit,2016-09-10 13:45:01,4183
1744r,calculate capacity,2016-09-10 12:45:01,23183
1744r,check system,2016-09-10 18:45:01,5183
1744r,accept,2016-09-10 18:45:01,43183
1744r,send decision e-mail,2016-09-10 18:45:01,6183
1745r,register application,2016-09-10 10:45:01,4183
1745r,check credit,2016-09-10 13:45:01,4183
1745r,calculate capacity,2016-09-10 12:45:01,23183
1745r,check system,2016-09-10 18:45:01,5183
1745r,accept,2016-09-10 18:45:01,43183
1745r,send decision e-mail,2016-09-10 18:45:01,6183
1746r,register application,2016-09-10 10:45:01,4183
1746r,check credit,2016-09-10 13:45:01,4183
1746r,calculate capacity,2016-09-10 12:45:01,23183
1746r,check system,2016-09-10 18:45:01,5183
1746r,accept,2016-09-10 18:45:01,43183
1746r,send decision e-mail,2016-09-10 18:45:01,6183
1747r,register application,2016-09-10 10:45:01,4183
1747r,check credit,2016-09-10 13:45:01,4183
1747r,calculate capacity,2016-09-10 12:45:01,23183
1747r,check system,2016-09-10 18:45:01,5183
1747r,accept,2016-09-10 18:45:01,43183
1747r,send decision e-mail,2016-09-10 18:45:01,6183
1748r,register application,2016-09-10 10:45:01,4183
1748r,check credit,2016-09-10 13:45:01,4183
1748r,calculate capacity,2016-09-10 12:45:01,23183
1748r,check system,2016-09-10 18:45:01,5183
1748r,accept,2016-09-10 18:45:01,43183
1748r,send decision e-mail,2016-09-10 18:45:01,6183
1749r,register application,2016-09-10 10:45:01,4183
1749r,check credit,2016-09-10 13:45:01,4183
1749r,calculate capacity,2016-09-10 12:45:01,23183
1749r,check system,2016-09-10 18:45:01,5183
1749r,accept,2016-09-10 18:45:01,43183
1749r,send decision e-mail,2016-09-10 18:45:01,6183
1750r,register application,2016-09-10 10:45:01,4183
1750r,check credit,2016-09-10 13:45:01,4183
1750r,calculate capacity,2016-09-10 12:45:01,23183
1750r,check system,2016-09-10 18:45:01,5183
1750r,accept,2016-09-10 18:45:01,43183
1750r,send decision e-mail,2016-09-10 18:45:01,6183
1751r,register application,2016-09-11 10:45:01,4183
1751r,check credit,2016-09-11 13:45:01,4183
1751r,calculate capacity,2016-09-11 12:45:01,23183
1751r,check system,2016-09-11 18:45:01,5183
1751r,accept,2016-09-11 18:45:01,43183
1751r,send decision e-mail,2016-09-11 18:55:01,5073
1752r,register application,2016-09-11 10:55:01,3073
1752r,check credit,2016-09-11 13:55:01,3073
1752r,calculate capacity,2016-09-11 12:55:01,22073
1752r,check system,2016-09-11 18:55:01,4073
1752r,accept,2016-09-11 18:55:01,42073
1752r,send decision e-mail,2016-09-11 18:55:01,5073
1753r,register application,2016-09-11 10:55:01,3073
1753r,check credit,2016-09-11 13:55:01,3073
1753r,calculate capacity,2016-09-11 12:55:01,22073
1753r,check system,2016-09-11 18:55:01,4073
1753r,accept,2016-09-11 18:55:01,42073
1753r,send decision e-mail,2016-09-11 18:55:01,5073
1754r,register application,2016-09-11 10:55:01,3073
1754r,check credit,2016-09-11 13:55:01,3073
1754r,calculate capacity,2016-09-11 12:55:01,22073
1754r,check system,2016-09-11 18:55:01,4073
1754r,accept,2016-09-11 18:55:01,42073
1754r,send decision e-mail,2016-09-11 18:55:01,5073
1755r,register application,2016-09-11 10:55:01,3073
1755r,check credit,2016-09-11 13:55:01,3073
1755r,calculate capacity,2016-09-11 12:55:01,22073
1755r,check system,2016-09-11 18:55:01,4073
1755r,accept,2016-09-11 18:55:01,42073
1755r,send decision e-mail,2016-09-11 18:55:01,5073
1756r,register application,2016-09-11 10:55:01,3073
1756r,check credit,2016-09-11 13:55:01,3073
1756r,calculate capacity,2016-09-11 12:55:01,22073
1756r,check system,2016-09-11 18:55:01,4073
1756r,accept,2016-09-11 18:55:01,42073
1756r,send decision e-mail,2016-09-11 18:55:01,5073
1757r,register application,2016-09-11 10:55:01,3073
1757r,check credit,2016-09-11 13:55:01,3073
1757r,calculate capacity,2016-09-11 12:55:01,22073
1757r,check system,2016-09-11 18:55:01,4073
1757r,accept,2016-09-11 18:55:01,42073
1757r,send decision e-mail,2016-09-11 18:55:01,5073
1758r,register application,2016-09-12 10:55:01,3073
1758r,check credit,2016-09-12 13:55:01,3073
1758r,calculate capacity,2016-09-12 12:55:01,22073
1758r,check system,2016-09-12 18:55:01,4073
1758r,accept,2016-09-12 18:55:01,42073
1758r,send decision e-mail,2016-09-12 18:55:01,5073
1759r,register application,2016-09-12 10:55:01,3073
1759r,check credit,2016-09-12 13:55:01,3073
1759r,calculate capacity,2016-09-12 12:55:01,22073
1759r,check system,2016-09-12 18:55:01,4073
1759r,accept,2016-09-12 18:55:01,42073
1759r,send decision e-mail,2016-09-12 18:55:01,5073
1760r,register application,2016-09-12 10:55:01,3073
1760r,check credit,2016-09-12 13:55:01,3073
1760r,calculate capacity,2016-09-12 12:55:01,22073
1760r,check system,2016-09-12 18:55:01,4073
1760r,accept,2016-09-12 18:55:01,42073
1760r,send decision e-mail,2016-09-12 18:55:01,5073
1761r,register application,2016-09-12 10:05:01,1501
1761r,check credit,2016-09-12 13:05:01,1501
1761r,calculate capacity,2016-09-12 12:05:01,20501
1761r,check system,2016-09-12 18:05:01,2501
1761r,accept,2016-09-12 18:05:01,40501
1761r,send decision e-mail,2016-09-12 18:05:01,3501
1762r,register application,2016-09-12 10:05:01,1501
1762r,check credit,2016-09-12 13:05:01,1501
1762r,calculate capacity,2016-09-12 12:05:01,20501
1762r,check system,2016-09-12 18:05:01,2501
1762r,accept,2016-09-12 18:05:01,40501
1762r,send decision e-mail,2016-09-12 18:05:01,3501
1763r,register application,2016-09-12 10:05:01,1501
1763r,check credit,2016-09-12 13:05:01,1501
1763r,calculate capacity,2016-09-12 12:05:01,20501
1763r,check system,2016-09-12 18:05:01,2501
1763r,accept,2016-09-12 18:05:01,40501
1763r,send decision e-mail,2016-09-12 18:05:01,3501
1764r,register application,2016-09-12 10:05:01,1501
1764r,check credit,2016-09-12 13:05:01,1501
1764r,calculate capacity,2016-09-12 12:05:01,20501
1764r,check system,2016-09-12 18:05:01,2501
1764r,accept,2016-09-12 18:05:01,40501
1764r,send decision e-mail,2016-09-12 18:05:01,3501
1765r,register application,2016-09-13 10:05:01,1501
1765r,check credit,2016-09-13 13:05:01,1501
1765r,calculate capacity,2016-09-13 12:05:01,20501
1765r,check system,2016-09-13 18:05:01,2501
1765r,accept,2016-09-13 18:05:01,40501
1765r,send decision e-mail,2016-09-13 18:05:01,3501
1766r,register application,2016-09-13 10:05:01,1501
1766r,check credit,2016-09-13 13:05:01,1501
1766r,calculate capacity,2016-09-13 12:05:01,20501
1766r,check system,2016-09-13 18:05:01,2501
1766r,accept,2016-09-13 18:05:01,40501
1766r,send decision e-mail,2016-09-13 18:05:01,3501
1767r,register application,2016-09-13 10:05:01,1501
1767r,check credit,2016-09-13 13:05:01,1501
1767r,calculate capacity,2016-09-13 12:05:01,20501
1767r,check system,2016-09-13 18:05:01,2501
1767r,accept,2016-09-13 18:05:01,40501
1767r,send decision e-mail,2016-09-13 18:05:01,3501
1768r,register application,2016-09-13 10:05:01,1501
1768r,check credit,2016-09-13 13:05:01,1501
1768r,calculate capacity,2016-09-13 12:05:01,20501
1768r,check system,2016-09-13 18:05:01,2501
1768r,accept,2016-09-13 18:05:01,40501
1768r,send decision e-mail,2016-09-13 18:05:01,3501
1769r,register application,2016-09-13 10:05:01,1501
1769r,check credit,2016-09-13 13:05:01,1501
1769r,calculate capacity,2016-09-13 12:05:01,20501
1769r,check system,2016-09-13 18:05:01,2501
1769r,accept,2016-09-13 18:05:01,40501
1769r,send decision e-mail,2016-09-13 18:18:01,3416
1770r,register application,2016-09-13 10:18:01,1416
1770r,check credit,2016-09-13 13:18:01,1416
1770r,calculate capacity,2016-09-13 12:18:01,20416
1770r,check system,2016-09-13 18:18:01,2416
1770r,accept,2016-09-13 18:18:01,40416
1770r,send decision e-mail,2016-09-13 18:18:01,3416
1771r,register application,2016-09-13 10:18:01,1416
1771r,check credit,2016-09-13 13:18:01,1416
1771r,calculate capacity,2016-09-13 12:18:01,20416
1771r,check system,2016-09-13 18:18:01,2416
1771r,accept,2016-09-13 18:18:01,40416
1771r,send decision e-mail,2016-09-13 18:18:01,3416
1772r,register application,2016-09-14 10:18:01,1416
1772r,check credit,2016-09-14 13:18:01,1416
1772r,calculate capacity,2016-09-14 12:18:01,20416
1772r,check system,2016-09-14 18:18:01,2416
1772r,accept,2016-09-14 18:18:01,40416
1772r,send decision e-mail,2016-09-14 18:18:01,3416
1773r,register application,2016-09-14 10:18:01,1416
1773r,check credit,2016-09-14 13:18:01,1416
1773r,calculate capacity,2016-09-14 12:18:01,20416
1773r,check system,2016-09-14 18:18:01,2416
1773r,accept,2016-09-14 18:18:01,40416
1773r,send decision e-mail,2016-09-14 18:18:01,3416
1774r,register application,2016-09-14 10:18:01,1416
1774r,check credit,2016-09-14 13:18:01,1416
1774r,calculate capacity,2016-09-14 12:18:01,20416
1774r,check system,2016-09-14 18:18:01,2416
1774r,accept,2016-09-14 18:18:01,40416
1774r,send decision e-mail,2016-09-14 18:18:01,3416
1775r,register application,2016-09-14 10:18:01,1416
1775r,check credit,2016-09-14 13:18:01,1416
1775r,calculate capacity,2016-09-14 12:18:01,20416
1775r,check system,2016-09-14 18:18:01,2416
1775r,accept,2016-09-14 18:18:01,40416
1775r,send decision e-mail,2016-09-14 18:18:01,3416
1776r,register application,2016-09-14 10:18:01,1416
1776r,check credit,2016-09-14 13:18:01,1416
1776r,calculate capacity,2016-09-14 12:18:01,20416
1776r,check system,2016-09-14 18:18:01,2416
1776r,accept,2016-09-14 18:18:01,40416
1776r,send decision e-mail,2016-09-14 18:18:01,3416
1777r,register application,2016-09-14 10:18:01,1416
1777r,check credit,2016-09-14 13:18:01,1416
1777r,calculate capacity,2016-09-14 12:18:01,20416
1777r,check system,2016-09-14 18:18:01,2416
1777r,accept,2016-09-14 18:18:01,40416
1777r,send decision e-mail,2016-09-14 18:18:01,3416
1778r,register application,2016-09-14 10:18:01,1416
1778r,check credit,2016-09-14 13:18:01,1416
1778r,calculate capacity,2016-09-14 12:18:01,20416
1778r,check system,2016-09-14 18:18:01,2416
1778r,accept,2016-09-14 18:33:01,42725
1778r,send decision e-mail,2016-09-14 18:33:01,5725
1779r,register application,2016-09-15 10:33:01,3725
1779r,check credit,2016-09-15 13:33:01,3725
1779r,calculate capacity,2016-09-15 12:33:01,22725
1779r,check system,2016-09-15 18:33:01,4725
1779r,accept,2016-09-15 18:33:01,42725
1779r,send decision e-mail,2016-09-15 18:33:01,5725
1780r,register application,2016-09-15 10:33:01,3725
1780r,check credit,2016-09-15 13:33:01,3725
1780r,calculate capacity,2016-09-15 12:33:01,22725
1780r,check system,2016-09-15 18:33:01,4725
1780r,accept,2016-09-15 18:33:01,42725
1780r,send decision e-mail,2016-09-15 18:33:01,5725
1781r,register application,2016-09-15 10:33:01,3725
1781r,check credit,2016-09-15 13:33:01,3725
1781r,calculate capacity,2016-09-15 12:33:01,22725
1781r,check system,2016-09-15 18:33:01,4725
1781r,accept,2016-09-15 18:33:01,42725
1781r,send decision e-mail,2016-09-15 18:33:01,5725
1782r,register application,2016-09-15 10:33:01,3725
1782r,check credit,2016-09-15 13:33:01,3725
1782r,calculate capacity,2016-09-15 12:33:01,22725
1782r,check system,2016-09-15 18:33:01,4725
1782r,accept,2016-09-15 18:33:01,42725
1782r,send decision e-mail,2016-09-15 18:33:01,5725
1783r,register application,2016-09-15 10:33:01,3725
1783r,check credit,2016-09-15 13:33:01,3725
1783r,calculate capacity,2016-09-15 12:33:01,22725
1783r,check system,2016-09-15 18:33:01,4725
1783r,accept,2016-09-15 18:33:01,42725
1783r,send decision e-mail,2016-09-15 18:33:01,5725
1784r,register application,2016-09-15 10:33:01,3725
1784r,check credit,2016-09-15 13:33:01,3725
1784r,calculate capacity,2016-09-15 12:33:01,22725
1784r,check system,2016-09-15 18:33:01,4725
1784r,accept,2016-09-15 18:33:01,42725
1784r,send decision e-mail,2016-09-15 18:33:01,5725
1785r,register application,2016-09-15 10:33:01,3725
1785r,check credit,2016-09-15 13:33:01,3725
1785r,calculate capacity,2016-09-15 12:33:01,22725
1785r,check system,2016-09-15 18:33:01,4725
1785r,accept,2016-09-15 18:33:01,42725
1785r,send decision e-mail,2016-09-15 18:33:01,5725
1786r,register application,2016-09-16 10:33:01,3725
1786r,check credit,2016-09-16 13:33:01,3725
1786r,calculate capacity,2016-09-16 12:33:01,22725
1786r,check system,2016-09-16 18:33:01,4725
1786r,accept,2016-09-16 18:33:01,42725
1786r,send decision e-mail,2016-09-16 18:33:01,5725
1787r,register application,2016-09-16 10:33:01,3725
1787r,check credit,2016-09-16 13:33:01,3725
1787r,calculate capacity,2016-09-16 12:33:01,22725
1787r,check system,2016-09-16 18:33:01,4725
1787r,accept,2016-09-16 18:33:01,42725
1787r,send decision e-mail,2016-09-16 18:36:01,5086
1788r,register application,2016-09-16 10:36:01,3086
1788r,check credit,2016-09-16 13:36:01,3086
1788r,calculate capacity,2016-09-16 12:36:01,22086
1788r,check system,2016-09-16 18:36:01,4086
1788r,accept,2016-09-16 18:36:01,42086
1788r,send decision e-mail,2016-09-16 18:36:01,5086
1789r,register application,2016-09-16 10:36:01,3086
1789r,check credit,2016-09-16 13:36:01,3086
1789r,calculate capacity,2016-09-16 12:36:01,22086
1789r,check system,2016-09-16 18:36:01,4086
1789r,accept,2016-09-16 18:36:01,42086
1789r,send decision e-mail,2016-09-16 18:36:01,5086
1790r,register application,2016-09-16 10:36:01,3086
1790r,check credit,2016-09-16 13:36:01,3086
1790r,calculate capacity,2016-09-16 12:36:01,22086
1790r,check system,2016-09-16 18:36:01,4086
1790r,accept,2016-09-16 18:36:01,42086
1790r,send decision e-mail,2016-09-16 18:36:01,5086
1791r,register application,2016-09-16 10:36:01,3086
1791r,check credit,2016-09-16 13:36:01,3086
1791r,calculate capacity,2016-09-16 12:36:01,22086
1791r,check system,2016-09-16 18:36:01,4086
1791r,accept,2016-09-16 18:36:01,42086
1791r,send decision e-mail,2016-09-16 18:36:01,5086
1792r,register application,2016-09-16 10:36:01,3086
1792r,check credit,2016-09-16 13:36:01,3086
1792r,calculate capacity,2016-09-16 12:36:01,22086
1792r,check system,2016-09-16 18:36:01,4086
1792r,accept,2016-09-16 18:36:01,42086
1792r,send decision e-mail,2016-09-16 18:36:01,5086
1793r,register application,2016-09-17 10:36:01,3086
1793r,check credit,2016-09-17 13:36:01,3086
1793r,calculate capacity,2016-09-17 12:36:01,22086
1793r,check system,2016-09-17 18:36:01,4086
1793r,accept,2016-09-17 18:36:01,42086
1793r,send decision e-mail,2016-09-17 18:36:01,5086
1794r,register application,2016-09-17 10:36:01,3086
1794r,check credit,2016-09-17 13:36:01,3086
1794r,calculate capacity,2016-09-17 12:36:01,22086
1794r,check system,2016-09-17 18:36:01,4086
1794r,accept,2016-09-17 18:36:01,42086
1794r,send decision e-mail,2016-09-17 18:36:01,5086
1795r,register application,2016-09-17 10:36:01,3086
1795r,check credit,2016-09-17 13:36:01,3086
1795r,calculate capacity,2016-09-17 12:36:01,22086
1795r,check system,2016-09-17 18:36:01,4086
1795r,accept,2016-09-17 18:36:01,42086
1795r,send decision e-mail,2016-09-17 18:36:01,5086
1796r,register application,2016-09-17 10:36:01,3086
1796r,check credit,2016-09-17 13:36:01,3086
1796r,calculate capacity,2016-09-17 12:36:01,22086
1796r,check system,2016-09-17 18:36:01,4086
1796r,accept,2016-09-17 18:36:01,42086
1796r,send decision e-mail,2016-09-17 18:36:01,5086
1797r,register application,2016-09-17 10:06:01,1148
1797r,check credit,2016-09-17 13:06:01,1148
1797r,calculate capacity,2016-09-17 12:06:01,20148
1797r,check system,2016-09-17 18:06:01,2148
1797r,accept,2016-09-17 18:06:01,40148
1797r,send decision e-mail,2016-09-17 18:06:01,3148
1798r,register application,2016-09-17 10:06:01,1148
1798r,check credit,2016-09-17 13:06:01,1148
1798r,calculate capacity,2016-09-17 12:06:01,20148
1798r,check system,2016-09-17 18:06:01,2148
1798r,accept,2016-09-17 18:06:01,40148
1798r,send decision e-mail,2016-09-17 18:06:01,3148
1799r,register application,2016-09-17 10:06:01,1148
1799r,check credit,2016-09-17 13:06:01,1148
1799r,calculate capacity,2016-09-17 12:06:01,20148
1799r,check system,2016-09-17 18:06:01,2148
1799r,accept,2016-09-17 18:06:01,40148
1799r,send decision e-mail,2016-09-17 18:06:01,3148
1800r,register application,2016-09-18 10:06:01,1148
1800r,check credit,2016-09-18 13:06:01,1148
1800r,calculate capacity,2016-09-18 12:06:01,20148
1800r,check system,2016-09-18 18:06:01,2148
1800r,accept,2016-09-18 18:06:01,40148
1800r,send decision e-mail,2016-09-18 18:06:01,3148
1801r,register application,2016-09-18 10:06:01,1148
1801r,check credit,2016-09-18 13:06:01,1148
1801r,calculate capacity,2016-09-18 12:06:01,20148
1801r,check system,2016-09-18 18:06:01,2148
1801r,accept,2016-09-18 18:06:01,40148
1801r,send decision e-mail,2016-09-18 18:06:01,3148
1802r,register application,2016-09-18 10:06:01,1148
1802r,check credit,2016-09-18 13:06:01,1148
1802r,calculate capacity,2016-09-18 12:06:01,20148
1802r,check system,2016-09-18 18:06:01,2148
1802r,accept,2016-09-18 18:06:01,40148
1802r,send decision e-mail,2016-09-18 18:06:01,3148
1803r,register application,2016-09-18 10:06:01,1148
1803r,check credit,2016-09-18 13:06:01,1148
1803r,calculate capacity,2016-09-18 12:06:01,20148
1803r,check system,2016-09-18 18:06:01,2148
1803r,accept,2016-09-18 18:06:01,40148
1803r,send decision e-mail,2016-09-18 18:06:01,3148
1804r,register application,2016-09-18 10:06:01,1148
1804r,check credit,2016-09-18 13:06:01,1148
1804r,calculate capacity,2016-09-18 12:06:01,20148
